session_test_id,name,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
model_comparison_v1,6,audio_item_1,Opt_64_dropout,44,65562,
model_comparison_v1,6,audio_item_1,Opt_32,55,65562,
model_comparison_v1,6,audio_item_1,reference,100,65562,
model_comparison_v1,6,audio_item_2,Opt_32,31,39759,
model_comparison_v1,6,audio_item_2,Opt_128,10,39759,
model_comparison_v1,6,audio_item_2,reference,100,39759,
model_comparison_v1,6,audio_item_2,Opt_256,18,39759,
model_comparison_v1,6,audio_item_2,Opt_64_dropout,44,39759,
model_comparison_v1,6,audio_item_3,Opt_128,29,54439,
model_comparison_v1,6,audio_item_3,Opt_256,40,54439,
model_comparison_v1,6,audio_item_3,reference,94,54439,
model_comparison_v1,6,audio_item_3,Opt_64_dropout,45,54439,
model_comparison_v1,6,audio_item_3,Opt_32,30,54439,
model_comparison_v1,6,audio_item_4,reference,100,107371,
model_comparison_v1,6,audio_item_4,Opt_256,53,107371,
model_comparison_v1,6,audio_item_4,Opt_128,18,107371,
model_comparison_v1,6,audio_item_4,Opt_32,43,107371,
model_comparison_v1,6,audio_item_4,Opt_64_dropout,9,107371,
model_comparison_v1,6,audio_item_5,Opt_128,2,88805,
model_comparison_v1,6,audio_item_5,Opt_64_dropout,23,88805,
model_comparison_v1,6,audio_item_5,Opt_256,41,88805,
model_comparison_v1,6,audio_item_5,Opt_32,44,88805,
model_comparison_v1,6,audio_item_5,reference,100,88805,
model_comparison_v1,6,audio_item_6,Opt_32,11,85312,
model_comparison_v1,6,audio_item_6,Opt_256,83,85312,
model_comparison_v1,6,audio_item_6,Opt_128,56,85312,
model_comparison_v1,6,audio_item_6,Opt_64_dropout,41,85312,
model_comparison_v1,6,audio_item_6,reference,100,85312,
model_comparison_v1,6,audio_item_7,Opt_256,37,52259,
model_comparison_v1,6,audio_item_7,Opt_64_dropout,35,52259,
model_comparison_v1,6,audio_item_7,Opt_128,12,52259,
model_comparison_v1,6,audio_item_7,Opt_32,27,52259,
model_comparison_v1,6,audio_item_7,reference,100,52259,
model_comparison_v1,6,audio_item_8,Opt_64_dropout,50,96804,
model_comparison_v1,6,audio_item_8,Opt_128,24,96804,
model_comparison_v1,6,audio_item_8,reference,100,96804,
model_comparison_v1,6,audio_item_8,Opt_32,62,96804,
model_comparison_v1,6,audio_item_8,Opt_256,16,96804,
model_comparison_v1,7,audio_item_1,Opt_32,8,104899,
model_comparison_v1,7,audio_item_1,Opt_128,56,104899,
model_comparison_v1,7,audio_item_1,Opt_256,20,104899,
model_comparison_v1,7,audio_item_1,reference,100,104899,
model_comparison_v1,7,audio_item_1,Opt_64_dropout,30,104899,
model_comparison_v1,7,audio_item_2,Opt_256,44,74310,
model_comparison_v1,7,audio_item_2,Opt_128,40,74310,
model_comparison_v1,7,audio_item_2,Opt_64_dropout,9,74310,
model_comparison_v1,7,audio_item_2,reference,100,74310,
model_comparison_v1,7,audio_item_2,Opt_32,45,74310,
model_comparison_v1,7,audio_item_3,reference,100,70401,
model_comparison_v1,7,audio_item_3,Opt_256,53,70401,
model_comparison_v1,7,audio_item_3,Opt_64_dropout,44,70401,
model_comparison_v1,7,audio_item_3,Opt_128,53,70401,
model_comparison_v1,7,audio_item_3,Opt_32,30,70401,
model_comparison_v1,7,audio_item_4,Opt_128,33,76632,
model_comparison_v1,7,audio_item_4,Opt_32,60,76632,
model_comparison_v1,7,audio_item_4,Opt_256,41,76632,
model_comparison_v1,7,audio_item_4,reference,100,76632,
model_comparison_v1,7,audio_item_4,Opt_64_dropout,50,76632,
model_comparison_v1,7,audio_item_5,Opt_64_dropout,44,29857,
model_comparison_v1,7,audio_item_5,reference,100,29857,
model_comparison_v1,7,audio_item_5,Opt_256,38,29857,
model_comparison_v1,7,audio_item_5,Opt_32,36,29857,
model_comparison_v1,7,audio_item_5,Opt_128,15,29857,
model_comparison_v1,7,audio_item_6,Opt_256,29,31181,
model_comparison_v1,7,audio_item_6,Opt_128,42,31181,
model_comparison_v1,7,audio_item_6,Opt_32,9,31181,
model_comparison_v1,7,audio_item_6,reference,95,31181,
model_comparison_v1,7,audio_item_6,Opt_64_dropout,61,31181,
model_comparison_v1,7,audio_item_7,Opt_32,10,146190,
model_comparison_v1,7,audio_item_7,Opt_128,38,146190,
model_comparison_v1,7,audio_item_7,Opt_256,39,146190,
model_comparison_v1,7,audio_item_7,reference,100,146190,
model_comparison_v1,7,audio_item_7,Opt_64_dropout,37,146190,
model_comparison_v1,7,audio_item_8,Opt_128,43,34560,
model_comparison_v1,7,audio_item_8,Opt_32,28,34560,
